"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"219","59","104515","15","8","Youngstown St.","29","579","19.96552","0.72","0.3465","0.75","0.6218","0.51","209","7.2069","0.04","0.1251","0.04","0.4785","0.93","57","1.96552","0.02","0.0341","0.03","0.3158","0.14","571","19.68966","0.78","0.3417","0.8","0.331","0.52","254","8.75862","0.99","0.152","1","0.3543","0.48","1405","48.44828","0.94","0.8408","0.99","0.5541","0.44"
"74","86","104510","24","11","Yale","29","651","22.44828","0.93","0.385","0.94","0.6267","0.57","245","8.44828","0.14","0.1449","0.14","0.4286","0.58","184","6.34483","0.56","0.1088","0.55","0.3587","0.44","464","16","0.35","0.2744","0.34","0.3879","0.99","146","5.03448","0.35","0.0863","0.33","0.4178","0.95","1262","43.51724","0.73","0.7463","0.73","0.6097","0.95"
"96","29","104509","15","6","Xavier","33","547","16.57576","0.25","0.2625","0.11","0.6234","0.53","376","11.39394","0.66","0.1804","0.5","0.4202","0.53","315","9.54545","0.9","0.1512","0.86","0.3714","0.57","646","19.57576","0.76","0.31","0.61","0.3576","0.83","200","6.06061","0.66","0.096","0.54","0.39","0.81","1393","42.21212","0.6","0.6684","0.27","0.5775","0.72"
"97","87","104508","18","9","Wyoming","32","652","20.375","0.78","0.3475","0.76","0.612","0.42","283","8.84375","0.21","0.1509","0.19","0.4382","0.68","134","4.1875","0.23","0.0714","0.22","0.3731","0.58","554","17.3125","0.52","0.2953","0.48","0.3105","0.21","253","7.90625","0.95","0.1349","0.95","0.3715","0.65","1459","45.59375","0.84","0.7777","0.85","0.5469","0.35"
"125","59","104506","23","16","Wright St.","33","817","24.75758","0.98","0.424","0.99","0.6047","0.32","315","9.54545","0.34","0.1635","0.32","0.4667","0.86","136","4.12121","0.22","0.0706","0.22","0.3382","0.29","535","16.21212","0.38","0.2776","0.36","0.3682","0.91","124","3.75758","0.06","0.0643","0.05","0.3468","0.41","1476","44.72727","0.8","0.766","0.8","0.5786","0.74"
"246","38","104503","19","11","Wofford","30","677","22.56667","0.94","0.3763","0.91","0.5953","0.25","235","7.83333","0.08","0.1306","0.06","0.4298","0.59","113","3.76667","0.18","0.0628","0.15","0.3009","0.09","589","19.63333","0.77","0.3274","0.73","0.3497","0.74","182","6.06667","0.66","0.1012","0.63","0.3571","0.52","1451","48.36667","0.93","0.8066","0.95","0.5579","0.5"
"27","73","104500","24","14","Wisconsin","35","633","18.08571","0.46","0.2916","0.3","0.6382","0.68","286","8.17143","0.11","0.1317","0.06","0.4126","0.46","121","3.45714","0.13","0.0557","0.11","0.3884","0.71","872","24.91429","0.98","0.4017","0.98","0.3417","0.64","258","7.37143","0.88","0.1188","0.85","0.4302","0.97","1764","50.4","0.98","0.8125","0.96","0.5768","0.71"
"129","37","104488","23","13","Winthrop","31","577","18.6129","0.53","0.3007","0.38","0.5927","0.22","385","12.41935","0.81","0.2006","0.71","0.4156","0.48","111","3.58065","0.15","0.0578","0.12","0.2793","0.04","643","20.74194","0.88","0.3351","0.78","0.3173","0.29","202","6.51613","0.78","0.1053","0.7","0.3762","0.69","1423","45.90323","0.85","0.7415","0.68","0.5365","0.24"
"127","16","104476","20","10","William & Mary","30","676","22.53333","0.94","0.3912","0.96","0.6686","0.84","217","7.23333","0.04","0.1256","0.04","0.3687","0.11","95","3.16667","0.1","0.055","0.1","0.4211","0.9","604","20.13333","0.83","0.3495","0.83","0.3179","0.29","136","4.53333","0.22","0.0787","0.22","0.3824","0.74","1416","47.2","0.91","0.8194","0.97","0.5777","0.73"
"70","17","104471","24","13","Wichita St.","35","839","23.97143","0.97","0.3822","0.93","0.5471","0.03","368","10.51429","0.5","0.1677","0.37","0.4212","0.54","245","7","0.67","0.1116","0.58","0.3959","0.76","602","17.2","0.51","0.2743","0.34","0.3289","0.48","141","4.02857","0.11","0.0642","0.05","0.3617","0.55","1582","45.2","0.81","0.7207","0.55","0.5262","0.16"
