"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"","59","104515","15","10","Youngstown St.","23","481","20.91304","0.91","0.3428","0.86","0.5988","0.26","224","9.73913","0.32","0.1597","0.22","0.4286","0.71","184","8","0.48","0.1311","0.42","0.3315","0.34","365","15.86957","0.45","0.2602","0.3","0.2932","0.1","149","6.47826","0.87","0.1062","0.82","0.349","0.44","995","43.26087","0.86","0.7092","0.74","0.5291","0.17"
"","29","104509","13","6","Xavier","21","366","17.42857","0.63","0.2848","0.45","0.7022","0.96","222","10.57143","0.44","0.1728","0.34","0.4099","0.54","199","9.47619","0.69","0.1549","0.6","0.397","0.87","363","17.28571","0.61","0.2825","0.48","0.3306","0.51","135","6.42857","0.86","0.1051","0.8","0.3111","0.21","864","41.14286","0.75","0.6724","0.54","0.5787","0.74"
"","87","104508","13","6","Wyoming","22","392","17.81818","0.69","0.3067","0.65","0.6276","0.52","199","9.04545","0.21","0.1557","0.2","0.4824","0.95","61","2.77273","0.01","0.0477","0.01","0.2787","0.06","460","20.90909","0.94","0.3599","0.94","0.3522","0.75","166","7.54545","0.96","0.1299","0.95","0.3795","0.67","1018","46.27273","0.95","0.7966","0.98","0.5732","0.68"
"","59","104506","18","16","Wright St.","24","614","25.58333","0.99","0.4174","0.99","0.6303","0.55","225","9.375","0.26","0.153","0.18","0.4178","0.62","148","6.16667","0.24","0.1006","0.19","0.3378","0.39","376","15.66667","0.42","0.2556","0.25","0.383","0.96","108","4.5","0.34","0.0734","0.24","0.3241","0.28","1098","45.75","0.94","0.7464","0.89","0.597","0.89"
"","38","104503","14","11","Wofford","21","367","17.47619","0.63","0.3087","0.66","0.6621","0.79","102","4.85714","0","0.0858","0","0.3824","0.35","101","4.80952","0.09","0.0849","0.09","0.4059","0.93","429","20.42857","0.91","0.3608","0.95","0.366","0.87","189","9","1","0.159","1","0.328","0.31","986","46.95238","0.97","0.8293","1","0.5796","0.76"
"","73","104500","18","10","Wisconsin","31","412","13.29032","0.11","0.2281","0.09","0.6529","0.73","343","11.06452","0.52","0.1899","0.52","0.3528","0.14","313","10.09677","0.75","0.1733","0.75","0.345","0.43","621","20.03226","0.89","0.3439","0.9","0.3575","0.8","117","3.77419","0.14","0.0648","0.13","0.4017","0.82","1150","37.09677","0.38","0.6368","0.33","0.5848","0.8"
"","37","104488","12","10","Winthrop","13","284","21.84615","0.95","0.3524","0.89","0.6303","0.55","139","10.69231","0.47","0.1725","0.34","0.3525","0.14","63","4.84615","0.09","0.0782","0.06","0.3492","0.48","233","17.92308","0.69","0.2891","0.54","0.3648","0.86","87","6.69231","0.9","0.1079","0.85","0.3678","0.6","604","46.46154","0.95","0.7494","0.9","0.5869","0.81"
"","16","104476","6","4","William & Mary","15","311","20.73333","0.9","0.3685","0.94","0.5659","0.06","152","10.13333","0.37","0.1801","0.41","0.375","0.3","80","5.33333","0.15","0.0948","0.16","0.3375","0.39","204","13.6","0.14","0.2417","0.16","0.2255","0","97","6.46667","0.86","0.1149","0.88","0.3093","0.19","612","40.8","0.73","0.7251","0.81","0.4739","0.01"
"","17","104471","16","11","Wichita St.","20","404","20.2","0.88","0.3432","0.86","0.5718","0.08","140","7","0.04","0.1189","0.02","0.2357","0","154","7.7","0.45","0.1308","0.42","0.3052","0.15","378","18.9","0.81","0.3212","0.79","0.3307","0.51","101","5.05","0.51","0.0858","0.49","0.3663","0.58","883","44.15","0.91","0.7502","0.91","0.5368","0.25"
"","2","104454","5","4","Western Mich.","20","261","13.05","0.09","0.2368","0.12","0.6743","0.87","250","12.5","0.73","0.2269","0.81","0.364","0.21","172","8.6","0.56","0.1561","0.62","0.3953","0.86","313","15.65","0.41","0.284","0.5","0.3195","0.37","106","5.3","0.59","0.0962","0.67","0.3679","0.6","680","34","0.16","0.6171","0.22","0.5654","0.59"
"","88","104453","20","10","Western Ky.","28","483","17.25","0.58","0.3059","0.65","0.6625","0.8","366","13.07143","0.81","0.2318","0.84","0.4235","0.67","205","7.32143","0.39","0.1298","0.41","0.2683","0.04","414","14.78571","0.3","0.2622","0.32","0.3671","0.88","111","3.96429","0.2","0.0703","0.2","0.2342","0.01","1008","36","0.29","0.6384","0.34","0.5823","0.79"
